Profile,Carbon.Kg.m2,Nitrogen.g.m2,Latitude,Longitude,Code
0061050 72 OR  6   6,39.3,2682,43.1,-124.1,A
0061051 72 OR 18   1,5.6,239,42.6,-121.5,A
0061052 72 OR 18   2,5.7,219,42.6,-121.5,A
0061053 72 OR 18  14,5,226,42.6,-121.5,A
0061054 72 OR 18   3,7,291,42.6,-121.5,A
0061055 72 OR 18   4,8.4,380,42.6,-121.5,A
0061056 72 OR  6   2,20.2,1274,43.1,-124.1,A
0061057 72 OR  6   3,33.8,2036,43.1,-124.1,A
0061058 72 OR 18  11,5.7,267,42.6,-121.5,A
0061059 72 OR 18  12,4.2,205,42.6,-121.5,A
0061060 69 OR 15   1,9.1,246,42.5,-122.8,A
0061061 69 OR 15   5,7.2,279,42.5,-122.8,A
0062001  34B306,5.1,152,40.3,-121.4,A
0062002  68D206,6.7,799,38.2,-120.7,A
0062003  69C204,7.6,491,38.2,-120.4,A
0062004  32D204,5.5,565,40.2,-122.2,A
0062005  49A103,7.8,718,39.4,-121.6,A
0062006  32D302,4,640,40.1,-122.2,A
0062007  68C202,11.3,922,38.2,-120.9,A
0062008  50B404,13.8,780,39.3,-121.3,A
0062009  50B306,18.8,756,39.3,-121.4,A
0062010  34B302,15.9,1560,40.3,-121.4,A
0062011  68C203,7.4,704,38.2,-120.9,A
0062012  32D301,3.9,580,40.1,-122.2,A
0062013  40D403,10.4,766,39.6,-121.6,A
0062014  32D114,3.1,311,40.2,-122.1,A
0062015  32D303,3.3,492,40.1,-122.2,A
0062016  41B101,3.3,438,39.9,-122.3,A
0062017  49A102,1.9,87,39.4,-121.6,A
0062018  49A401,5.2,383,39.3,-121.6,A
0062019  61C406,9.3,385,38.6,-123.3,A
0062020  11D307,15,550,41.1,-123.7,A
0062021  14C101,16.3,793,41.2,-122.3,A
0062022  22C311,17.1,809,40.6,-121.9,A
0062023  33A220,12.5,500,40.4,-121.7,A
0062024  39D408,28,897,39.6,-121.1,A
0062025  40A301,<0.1,497,39.8,-121.7,A
0062026  69C106,28,824,38.2,-120.3,A
0062027  90A402,<0.1,<0.1,37.3,-119.1,A
0062028  33A108,27.6,1206,40.4,-121.6,A
0062029  34C206,28.3,1597,40.2,-121.4,A
0062030  38C202,25.9,832,39.7,-120.9,A
0062031  69A211,30.9,1774,38.4,-120.2,A
0062032  69B104,30.9,1074,38.4,-120.3,A
0062033  22D305,6.4,225,40.6,-121.7,A
0062034  33A201,2.9,65,40.4,-121.7,A
0062035  33B309,18.3,594,40.3,-121.9,A
0062036  33B327,15.5,861,40.3,-121.9,A
0062037  68A403,7.8,355,38.3,-120.6,A
0062038  69B210,9.9,375,38.4,-120.4,A
0062039  90C404,11.5,491,37.1,-119.3,A
0062040  90C407,16.8,746,37.1,-119.3,A
0062042  14C102,12.9,509,41.2,-122.3,A
0062043  24D405,12.6,585,40.6,-122.6,A
0062044  40A103,21.2,710,39.9,-121.6,A
0062045  42A205,8,354,39.9,-122.7,A
0062046  47B105,10.7,427,39.4,-122.8,A
0062047  50A212,16.8,588,39.4,-121.2,A
0062048  60C302,17.3,987,38.6,-122.9,A
0062049  90A105,9.8,371,37.4,-119.1,A
0062050  60A301,12.3,385,38.8,-122.7,A
0062051  24D212,2.8,171,40.7,-122.7,A
0062052  69A208,10.6,364,38.4,-120.2,A
0062053  90A303,<0.1,<0.1,37.3,-119.2,A
0062054  90B406,3.7,133,37.3,-119.3,A
0062055  90D302,8.2,395,37.1,-119.2,A
0062056  22D206,20,870,40.7,-121.7,A
0062057  22D220,10,331,40.7,-121.7,A
0062058  22D304,11.6,423,40.6,-121.7,A
0062059  33A304,11.1,405,40.3,-121.7,A
0062060  33D104,20.7,589,40.2,-121.6,A
0062061  34B304,5.5,129,40.3,-121.4,A
0062062  34B308,9.6,236,40.3,-121.4,A
0062063  22B101,18.9,652,40.9,-121.8,A
0062064  22D208,22.7,755,40.7,-121.7,A
0062065  22D210,24.1,460,40.7,-121.7,A
0062066  22D214,37.4,2397,40.7,-121.7,A
0062067  22D321,10.5,500,40.6,-121.7,A
0062068  33A208,36.4,1172,40.4,-121.7,A
0062069  33D114,15.4,609,40.2,-121.6,A
0062070  69A212,37,1442,38.4,-120.2,A
0062071  69B404,30.3,1476,38.3,-120.3,A
0062072 100A106,55.3,932,36.9,-119.1,A
0062073  22D207,1.4,536,40.7,-121.7,A
0062074  33D205,9.1,221,40.2,-121.7,A
0062075  33D405,5.6,294,40.1,-121.6,A
0062076  69B407,25.3,1112,38.3,-120.3,A
0062077  50A211,14.3,570,39.4,-121.2,A
0062079  69B101,37.9,1411,38.4,-120.3,A
0062080  11D404,12.9,584,41.1,-123.6,A
0062081  39D406,29.5,998,39.6,-121.1,A
0062082  69A209,12.6,557,38.4,-120.2,A
0062083  69B103,8.9,321,38.4,-120.3,A
0062084  90A104,7.5,251,37.4,-119.1,A
0062085  69A201,20.9,860,38.4,-120.2,A
0062086  69A301,6.7,297,38.3,-120.2,A
0062087  90D201,<0.1,<0.1,37.2,-119.2,A
0062088  90D305,13.2,700,37.1,-119.2,A
0062089  90D309,11,405,37.1,-119.2,A
0062090 112D210,14.8,531,36.2,-118.7,A
0062091 112D211,14.8,561,36.2,-118.7,A
0062092  68A404,33.8,361,38.3,-120.6,A
0062093  69D204,15.2,374,38.2,-120.2,A
0062094  90C103,2.8,146,37.2,-119.3,A
0062095  90C309,7.3,440,37.1,-119.4,A
0062096  90D307,4.6,334,37.1,-119.2,A
0062097  23C209,3.2,146,40.7,-122.4,A
0062098 112D212,14.7,610,36.2,-118.7,A
0062099 112D213,10.2,428,36.2,-118.7,A
0062100  50A205,15.2,456,39.4,-121.2,A
0062101  69B208,15.3,622,38.4,-120.4,A
0062102  90C113,8.6,411,37.2,-119.3,A
0062103  90D308,9.1,431,37.1,-119.2,A
0062104  24C106,6.9,402,40.7,-122.8,A
0062105  39B202,5.6,127,39.9,-121.4,A
0062106  90A204,5.4,161,37.4,-119.2,A
0062107 112D202,20.6,809,36.2,-118.7,A
0062108  69A213,3.9,155,38.4,-120.2,A
0062109  23C208,2.6,173,40.7,-122.4,A
0062110  24D108,7.6,211,40.7,-122.6,A
0062111  11D201,11.5,373,41.2,-123.7,A
0062112  11D308,10.6,478,41.1,-123.7,A
0062113  14C303,12.1,442,41.1,-122.4,A
0062114  11D406,5.2,211,41.1,-123.6,A
0062115  39D404,38.4,951,39.6,-121.1,A
0062116  38C201,56.4,3226,39.7,-120.9,A
0062117  33A311,10.5,540,40.3,-121.7,A
0062118  33B118,15.6,677,40.4,-121.8,A
0062119  60A244,9.1,438,38.9,-122.7,A
0062120  60D203,14.7,770,38.7,-122.7,A
0062121  39D301,28,1071,39.6,-121.2,A
0062122  50A206,26.3,1012,39.4,-121.2,A
0062123  50A213,22,850,39.4,-121.2,A
0062124  50A305,19.1,956,39.3,-121.2,A
0062125  39C410,19.6,612,39.6,-121.3,A
0062126  39D302,27.8,1377,39.6,-121.2,A
0062127  50A210,13.1,835,39.4,-121.2,A
0062128  39B301,26.5,1298,39.8,-121.4,A
0062129  39C408,13,460,39.6,-121.3,A
0062130  39C409,15.4,746,39.6,-121.3,A
0062131  24D201,7.5,584,40.7,-122.7,A
0062132  39D202,5,260,39.7,-121.2,A
0062133  39D403,15.9,407,39.6,-121.1,A
0062134  39D409,17.6,567,39.6,-121.1,A
0062135  40A102,16.5,1020,39.9,-121.6,A
0062136  69A302,27.9,849,38.3,-120.2,A
0062137  50A207,15.2,491,39.4,-121.2,A
0062138  68A101,12.6,810,38.4,-120.6,A
0062139  69B209,15.1,671,38.4,-120.4,A
0062140  90C403,16.4,802,37.1,-119.3,A
0062141  90C405,15.5,726,37.1,-119.3,A
0062142 112D203,18.3,995,36.2,-118.7,A
0062143 112D204,17.9,1041,36.2,-118.7,A
0062144  39D104,4.8,267,39.7,-121.1,A
0062145  22C119,12.6,601,40.7,-121.8,A
0062146  22D217,6.9,276,40.7,-121.7,A
0062147  22D306,11.3,541,40.6,-121.7,A
0062148  33A203,15.8,552,40.4,-121.7,A
0062149  33B408,<0.1,<0.1,40.3,-121.8,A
0062150  33D408,17.7,681,40.1,-121.6,A
0062151  69B205,15.6,600,38.4,-120.4,A
0062152 112A306,23.2,956,36.3,-118.7,A
0062153  50B102,9.8,747,39.4,-121.3,A
0062154  60C105,11.1,769,38.7,-122.8,A
0062155  24C108,3.8,334,40.7,-122.8,A
0062156  24D110,3.9,187,40.7,-122.6,A
0062157  24D111,1.7,94,40.7,-122.6,A
0062158  39C407,4.8,349,39.6,-121.3,A
0062159  60C106,10.5,655,38.7,-122.8,A
0062160  14C304,16.1,705,41.1,-122.4,A
0062161  39D308,17.8,715,39.6,-121.2,A
0062162  11D203,11.3,557,41.2,-123.7,A
0062163  11D305,7.1,261,41.1,-123.7,A
0062164  14C401,15,579,41.1,-122.3,A
0062165  31C201,9.6,334,40.2,-122.9,A
0062166  50A202,15.1,619,39.4,-121.2,A
0062167  60B114,8.7,315,38.9,-122.8,A
0062168  11D403,8.5,229,41.1,-123.6,A
0062169  14C103,12.5,476,41.2,-122.3,A
0062170  24D406,6.6,299,40.6,-122.6,A
0062171  31C202,5.7,146,40.2,-122.9,A
0062172  31C204,8.8,289,40.2,-122.9,A
0062173  40A101,13.4,572,39.9,-121.6,A
0062174  42C101,7.2,221,39.7,-122.8,A
0062175  47A206,10.8,316,39.4,-122.7,A
0062176  50A304,7.6,338,39.3,-121.2,A
0062177  50B301,6,713,39.3,-121.4,A
0062178  79A201,9.5,838,37.9,-120.7,A
0062179  79A203,7.9,749,37.9,-120.7,A
0062180 100B109,2.9,248,36.9,-119.3,A
0062181  50B304,2.8,306,39.3,-121.4,A
0062182 100A212,9.5,831,36.9,-119.2,A
0062183 100B107,8.1,490,36.9,-119.3,A
0062184  64B203,4,332,38.4,-122.9,A
0062185  26A308,44.9,1671,40.8,-123.7,A
0062186  40D406,11.8,872,39.6,-121.6,A
0062187  23C301,8.1,588,40.6,-122.4,A
0062188  39C308,6.2,453,39.6,-121.4,A
0062189  68D302,3.8,365,38.1,-120.7,A
0062190  68D403,6.6,519,38.1,-120.6,A
0062191  79A301,3.9,503,37.8,-120.7,A
0062192  79A101,6.2,575,37.9,-120.6,A
0062193  79A202,4.1,478,37.9,-120.7,A
0062194  79A302,4,363,37.8,-120.7,A
0062195  79A105,7.8,692,37.9,-120.6,A
0062196  79A106,4.3,366,37.9,-120.6,A
0062197  40D405,7.3,590,39.6,-121.6,A
0062198  40D409,8,600,39.6,-121.6,A
0062199  41B403,5,486,39.8,-122.3,A
0062200  39C310,8.8,710,39.6,-121.4,A
0062201  50A301,7.5,622,39.3,-121.2,A
0062202  89D404,7.9,612,37.1,-119.6,A
0062203 100A202,4.2,327,36.9,-119.2,A
0062204  60B120,10.6,449,38.9,-122.8,A
0062205  32A109,4,358,40.4,-122.1,A
0062206  32A110,7.5,490,40.4,-122.1,A
0062207  33B221,18.7,1381,40.4,-121.9,A
0062208  40A302,17.8,783,39.8,-121.7,A
0062209  40D404,15.6,1167,39.6,-121.6,A
0062210  60A412,11.6,798,38.8,-122.6,A
0062211  60C202,13.3,988,38.7,-122.9,A
0062212  33B323,27.1,1122,40.3,-121.9,A
0062213  40D202,11.4,902,39.7,-121.7,A
0062214  33A101,17.8,1347,40.4,-121.6,A
0062215  47C302,4.9,355,39.1,-122.9,A
0062216  50B208,10,874,39.4,-121.4,A
0062217  50B401,8.4,353,39.3,-121.3,A
0062218  60C102,7.8,280,38.7,-122.8,A
0062219  79A103,7.1,651,37.9,-120.6,A
0062220  79A205,5.7,504,37.9,-120.7,A
0062221  50A307,8.4,404,39.3,-121.2,A
0062222  89D101,3.6,332,37.2,-119.6,A
0062223  90C409,8.2,611,37.1,-119.3,A
0062224 100A203,7.6,531,36.9,-119.2,A
0062225  29D303,17.8,1164,40.1,-123.7,A
0062226  47A201,<0.1,<0.1,39.4,-122.7,A
0062227  60A125,10.7,1044,38.9,-122.6,A
0062228  61D302,14.5,1273,38.6,-123.2,A
0062229 100A213,5,387,36.9,-119.2,A
0062230 100B111,3.2,330,36.9,-119.3,A
0062231  32A402,3.1,323,40.3,-122.1,A
0062232  33B412,4.2,384,40.3,-121.8,A
0062233  40C11A,2.8,286,39.7,-121.8,A
0062234  40C11B,3.2,241,39.7,-121.8,A
0062235  40C11C,3.9,407,39.7,-121.8,A
0062236  79A303,7.2,651,37.8,-120.7,A
0062237  79A401,3.2,319,37.8,-120.6,A
0062238  79A402,3.1,364,37.8,-120.6,A
0062239  33B417,13.9,806,40.3,-121.8,A
0062240  69B302,13.9,949,38.3,-120.4,A
0062241  79A107,11.7,929,37.9,-120.6,A
0062242 112D209,12.7,761,36.2,-118.7,A
0062243  50A396,12.6,581,39.3,-121.2,A
0062244  50B107,8.3,744,39.4,-121.3,A
0062245  50B210,9.5,675,39.4,-121.4,A
0062246  50B402,11.7,472,39.3,-121.3,A
0062247  32A106,4.4,396,40.4,-122.1,A
0062248  50A303,8.4,405,39.3,-121.2,A
0062249  68D202,6.6,707,38.2,-120.7,A
0062250  39C309,12.6,690,39.6,-121.4,A
0062251  50A309,13.4,778,39.3,-121.2,A
0062252  68A408,12.4,650,38.3,-120.6,A
0062253  50A302,15.3,445,39.3,-121.2,A
0062254  50B101,4,148,39.4,-121.3,A
0062255  50B112,12.6,525,39.4,-121.3,A
0062256  42A210,5.6,282,39.9,-122.7,A
0062257  42D108,7.7,524,39.7,-122.6,A
0062258  60A423,9.5,569,38.8,-122.6,A
0062259  33D206,4.7,417,40.2,-121.7,A
0062260  69B303,3.5,280,38.3,-120.4,A
0062261  69B401,3.7,328,38.3,-120.3,A
0062262  69C202,7.4,519,38.2,-120.4,A
0062263  60A235,7.6,326,38.9,-122.7,A
0062264  24D112,1.3,391,40.7,-122.6,A
0062265  60D201,11.3,263,38.7,-122.7,A
0062266  60D207,10.7,482,38.7,-122.7,A
0062267  69C302,2,198,38.1,-120.4,A
0062268   9A101,12.5,692,41.9,-124.1,A
0062269  44A203,<0.1,1383,39.9,-123.7,A
0062270  24D103,8.8,360,40.7,-122.6,A
0062271  42A209,6.3,301,39.9,-122.7,A
0062272  47A401,<0.1,<0.1,39.3,-122.6,A
0062273  60C101,3.2,365,38.7,-122.8,A
0062274  60C203,10.1,622,38.7,-122.9,A
0062275  24D404,5.6,278,40.6,-122.6,A
0062276  31B314,7.2,422,40.3,-122.9,A
0062277  47A204,3.9,322,39.4,-122.7,A
0062278  90C303,9.1,590,37.1,-119.4,A
0062279 100A204,13.7,818,36.9,-119.2,A
0062280 112D201,9.1,431,36.2,-118.7,A
0062281  47A203,8.3,369,39.4,-122.7,A
0062282 112A307,15.8,610,36.3,-118.7,A
0062283  11B201,15.6,1053,41.4,-123.9,A
0062284  11B306,15.3,847,41.3,-123.9,A
0062285  11D101,8.9,525,41.2,-123.6,A
0062286  24A403,11.8,1098,40.8,-122.6,A
0062287  26C204,16.4,748,40.7,-123.9,A
0062288  28A213,21.4,1135,40.4,-124.2,A
0062289  61D304,11.7,630,38.6,-123.2,A
0062290  10D104,28.2,1127,41.2,-124.1,A
0062291   9D401,29.5,1330,41.6,-124.1,A
0062292   9D402,38.6,1972,41.6,-124.1,A
0062293  11B202,22.1,972,41.4,-123.9,A
0062294  11B302,20,794,41.3,-123.9,A
0062295  24C301,11.8,741,40.6,-122.9,A
0062296  29A320,10.8,728,40.3,-123.7,A
0062297  42A204,8.6,305,39.9,-122.7,A
0062298  42D301,30.3,566,39.6,-122.7,A
0062299  47B302,19.4,771,39.3,-122.9,A
0062300  61D107,8.1,742,38.7,-123.1,A
0062301  61D305,14.1,662,38.6,-123.2,A
0062302  68A401,19.4,590,38.3,-120.6,A
0062303  10D105,23.2,847,41.2,-124.1,A
0062304  11B309,23.7,1116,41.3,-123.9,A
0062305  26B109,26.8,1030,40.9,-123.8,A
0062306  26B413,24.6,1109,40.8,-123.8,A
0062307  39D203,25.2,822,39.7,-121.2,A
0062308  39D309,20,695,39.6,-121.2,A
0062309  42D202,9.8,956,39.7,-122.7,A
0062310  50A201,16.9,710,39.4,-121.2,A
0062311  50A203,16.3,624,39.4,-121.2,A
0062312  50A204,16.7,777,39.4,-121.2,A
0062313  68A402,15.4,538,38.3,-120.6,A
0062314 100A206,16.8,758,36.9,-119.2,A
0062315  44B408,27.7,1802,39.8,-123.8,A
0062316  26C215,17.5,1032,40.7,-123.9,A
0062317  43C112,33.2,1623,39.7,-123.3,A
0062318  11D302,2.6,151,41.1,-123.7,A
0062319  24A405,7.8,793,40.8,-122.6,A
0062320  42A206,4.1,304,39.9,-122.7,A
0062321  42D201,7.8,605,39.7,-122.7,A
0062322  47A205,13.2,657,39.4,-122.7,A
0062323 112D205,17.8,588,36.2,-118.7,A
0062324  10D110,16.3,1129,41.2,-124.1,A
0062325  11C308,14.3,1199,41.1,-123.9,A
0062326  11D401,9.1,831,41.1,-123.6,A
0062327  42B102,13,727,39.9,-122.8,A
0062328  42C102,19.1,945,39.7,-122.8,A
0062329 100A102,12.9,446,36.9,-119.1,A
0062330  29A214,12.5,800,40.4,-123.7,A
0062331  31C408,6.8,337,40.1,-122.8,A
0062332  27A416,15.5,904,40.8,-124.1,A
0062333  28A223,21.7,1751,40.4,-124.2,A
0062334  69B201,13.4,415,38.4,-120.4,A
0062335 112D208,16.2,583,36.2,-118.7,A
0062336  31C407,3.2,236,40.1,-122.8,A
0062337  11B207,22,733,41.4,-123.9,A
0062338  23A402,9.5,637,40.8,-122.1,A
0062339  39D306,13.1,670,39.6,-121.2,A
0062340  39D307,14.9,588,39.6,-121.2,A
0062341  69B212,14.9,648,38.4,-120.4,A
0062342  69B301,11.2,684,38.3,-120.4,A
0062343  69C201,13.4,555,38.2,-120.4,A
0062344  69B402,9.6,321,38.3,-120.3,A
0062345  69C103,13.8,788,38.2,-120.3,A
0062346  68D204,9.3,1026,38.2,-120.7,A
0062347  68D404,8.5,1195,38.1,-120.6,A
0062348  68D406,10.5,1068,38.1,-120.6,A
0062349  68D408,10.4,882,38.1,-120.6,A
0062350  24C305,2.7,230,40.6,-122.9,A
0062351  59B205,13.7,1093,38.9,-122.4,A
0062352  26C119,22.9,1777,40.7,-123.8,A
0062353  42B301,12.6,1617,39.8,-122.9,A
0062354  42B401,5.6,535,39.8,-122.8,A
0062355  42B402,6.9,736,39.8,-122.8,A
0062356  28A210,24,1683,40.4,-124.2,A
0062357  63A402,22.4,1792,38.3,-123.1,A
0062358  31D223,9.7,1256,40.2,-122.7,A
0062359  42D413,3,427,39.6,-122.6,A
0062360  31D219,5,584,40.2,-122.7,A
0062361  41C312,3.1,385,39.6,-122.4,A
0062362  42A401,3.3,333,39.8,-122.6,A
0062363  31A214,11.3,1324,40.4,-122.7,A
0062364  31D220,9.8,1181,40.2,-122.7,A
0062365  41B322,7.6,721,39.8,-122.4,A
0062366  29B412,33.3,2388,40.3,-123.8,A
0062367  28A415,28.3,2213,40.3,-124.1,A
0062368  28A416,26,2000,40.3,-124.1,A
0062369  47D311,6.4,650,39.1,-122.7,A
0062370  48B207,13.4,1147,39.4,-122.4,A
0062371  31A205,8.9,524,40.4,-122.7,A
0062372  31D226,6.9,574,40.2,-122.7,A
0062373  47A105,6.5,628,39.4,-122.6,A
0062374  31D222,8.1,567,40.2,-122.7,A
0062375  42D111,1.7,199,39.7,-122.6,A
0062376  60A233,10.7,778,38.9,-122.7,A
0062377  26B105,14.3,1364,40.9,-123.8,A
0062378  29C401,12.6,1008,40.1,-123.8,A
0062379  61D303,9,778,38.6,-123.2,A
0062380  26B103,25,1966,40.9,-123.8,A
0062381  26B116,21.3,1784,40.9,-123.8,A
0062382  42A304,16.2,1123,39.8,-122.7,A
0062383  60D204,12.3,1399,38.7,-122.7,A
0062384  61D301,10.1,1178,38.6,-123.2,A
0062385 100A208,8,680,36.9,-119.2,A
0062386 100A218,4.4,386,36.9,-119.2,A
0062387  28B102,29.1,2365,40.4,-124.3,A
0062388  47A202,5.6,635,39.4,-122.7,A
0062389 100A211,9.1,818,36.9,-119.2,A
0062390  26C201,34.1,2193,40.7,-123.9,A
0062391  26C203,31.4,2088,40.7,-123.9,A
0062392  28A224,26.9,2148,40.4,-124.2,A
0062393  68D301,6.6,761,38.1,-120.7,A
0062394  79A204,5.7,1172,37.9,-120.7,A
0062395  31A117,5.9,781,40.4,-122.6,A
0062396  31D221,13.4,1420,40.2,-122.7,A
0062397  41C402,10.7,1115,39.6,-122.3,A
0062398  23A401,7.4,701,40.8,-122.1,A
0062399  31D227,5.9,509,40.2,-122.7,A
0062400  42D109,4.2,625,39.7,-122.6,A
0062401  68D205,8,813,38.2,-120.7,A
0062402  24A406,5.2,402,40.8,-122.6,A
0062403  31D228,3,234,40.2,-122.7,A
0062404  42D414,4.7,383,39.6,-122.6,A
0062405  47B301,4.1,222,39.3,-122.9,A
0062406  79A102,9.3,1197,37.9,-120.6,A
0062407  24A407,5.9,318,40.8,-122.6,A
0062408  45D401,31.7,2244,39.1,-123.6,A
0062409  90D204,5.8,351,37.2,-119.2,A
0062410  24C204,9.7,428,40.7,-122.9,A
0062411  33B104,6,328,40.4,-121.8,A
0062412  33B103,7.6,399,40.4,-121.8,A
0062413  90D401,14.5,620,37.1,-119.1,A
0062414  91C301,10.8,431,37.1,-118.9,A
0062415  27A417,18.7,1327,40.8,-124.1,A
0062416  27D113,38.7,2340,40.7,-124.1,A
0062417  29B211,16.9,872,40.4,-123.9,A
0062418  10D402,12.6,499,41.1,-124.1,A
0062419  45A301,17,691,39.3,-123.7,A
0062420  61C403,13.4,734,38.6,-123.3,A
0062421  10D401,17.7,929,41.1,-124.1,A
0062422  61C401,12.1,476,38.6,-123.3,A
0062423  90B403,5,241,37.3,-119.3,A
0062424   9A402,36.6,1869,41.8,-124.1,A
0062425  27A401,21.2,1133,40.8,-124.1,A
0062426  61C101,15.2,982,38.7,-123.3,A
0062427  26C321,24.4,1306,40.6,-123.9,A
0062428  27A101,28.2,1344,40.9,-124.1,A
0062429  27C401,21.5,1394,40.6,-124.3,A
0062430  90D304,8.4,350,37.1,-119.2,A
0062431  34B309,16.3,725,40.3,-121.4,A
0062432  22B202,24.9,1099,40.9,-121.9,A
0062433  61C102,7.8,573,38.7,-123.3,A
0062434  24C105,9.7,660,40.7,-122.8,A
0062435   9D101,14.3,617,41.7,-124.1,A
0062436  69C104,10.1,833,38.2,-120.3,A
0062437  27C414,36.7,2756,40.6,-124.3,A
0062438  15C301,7.3,468,41.1,-121.9,A
0062439  22C301,6.5,389,40.6,-121.9,A
0062440  31D121,3.1,638,40.2,-122.6,A
0062441  41B407,4.9,456,39.8,-122.3,A
0062442  50B212,5.8,516,39.4,-121.4,A
0062443  31D119,4.5,991,40.2,-122.6,A
0062444  41A101,6.4,669,39.9,-122.1,A
0062445  40D201,2.1,255,39.7,-121.7,A
0062446  68C102,4.2,278,38.2,-120.8,A
0062447  33A317,6.2,515,40.3,-121.7,A
0062448  79A104,10.5,1098,37.9,-120.6,A
0062449  47D420,7.5,869,39.1,-122.6,A
0062450  60A108,4.2,494,38.9,-122.6,A
0062451  32A203,2.2,199,40.4,-122.2,A
0062452  32A316,5.8,505,40.3,-122.2,A
0062453  68C101,16.2,1246,38.2,-120.8,A
0062454  28B401,28.8,2381,40.3,-124.3,A
0062455  40D411,2.7,253,39.6,-121.6,A
0062456  32B201,3.3,424,40.4,-122.4,A
0062457  32C311,10.2,1356,40.1,-122.4,A
0062458  41C101,8,1214,39.7,-122.3,A
0062459  41C401,10,1218,39.6,-122.3,A
0062460  47D437,3.4,269,39.1,-122.6,A
0062461  60A225,14.4,705,38.9,-122.7,A
0062462  41C403,10,1255,39.6,-122.3,A
0062463  48B101,16.4,1392,39.4,-122.3,A
0062464  41B405,4.8,1304,39.8,-122.3,A
0062465  48B102,8.3,1040,39.4,-122.3,A
0063001   6C301,23.6,546,41.6,-122.9,A
0063002  15D402,13.7,857,41.1,-121.6,A
0063003  68C201,7,660,38.2,-120.9,A
0063004  40B301,4.3,470,39.8,-121.9,A
0063005  15D101,13.8,567,41.2,-121.6,A
0063006  15D102,15.4,627,41.2,-121.6,A
0063007  68A410,11.3,493,38.3,-120.6,A
0063008  24C107,4.2,326,40.7,-122.8,A
0063009  39B302,6.9,304,39.8,-121.4,A
0063010  39C101,15.8,718,39.7,-121.3,A
0063011  40A204,13.7,585,39.9,-121.7,A
0063012  14C109,17.5,349,41.2,-122.3,A
0063014  14C107,10.2,422,41.2,-122.3,A
0063015  22A108,10.4,589,40.9,-121.6,A
0063016  50B110,20,684,39.4,-121.3,A
0063017  68A409,17.8,780,38.3,-120.6,A
0063018  40A104,23.1,754,39.9,-121.6,A
0063019  14B402,20.3,1193,41.3,-122.3,A
0063020  40A203,14.8,879,39.9,-121.7,A
0063021  14B401,17.5,772,41.3,-122.3,A
0063022  14B403,19.4,1002,41.3,-122.3,A
0063023  14A301,32.1,1949,41.3,-122.2,A
0063024  14C106,28.9,840,41.2,-122.3,A
0063025  22A203,12.5,625,40.9,-121.7,A
0063026  14C105,11.3,534,41.2,-122.3,A
0063027  14C108,8.9,535,41.2,-122.3,A
0063028  14C111,13.2,602,41.2,-122.3,A
0063029  79A406,8.4,623,37.8,-120.6,A
0063030  78B301,5.5,444,37.8,-120.4,A
0063031  79A110,7,217,37.9,-120.6,A
0063032  78B205,26.7,1174,37.9,-120.4,A
0063033  68A407,9.1,500,38.3,-120.6,A
0063034  50B109,13.8,806,39.4,-121.3,A
0063036  78B306,4.9,402,37.8,-120.4,A
0063037  79A407,6.2,418,37.8,-120.6,A
0063038  79A405,6.1,501,37.8,-120.6,A
0063039  68D308,16.7,1015,38.1,-120.7,A
0063040  78B305,5.7,469,37.8,-120.4,A
0063041  78A305,8.5,344,37.8,-120.2,A
0063042  22A109,11.8,688,40.9,-121.6,A
0063043  23C301,5.5,604,40.6,-122.4,A
0063044  68A408,11.9,771,38.3,-120.6,A
0063045  78B104,5.2,586,37.9,-120.3,A
0063046  78B201,4,400,37.9,-120.4,A
0063047  78B103,2.3,261,37.9,-120.3,A
0063048  68D207,5.4,365,38.2,-120.7,A
0063049  78B206,5.2,222,37.9,-120.4,A
0063050  22A105,2.1,220,40.9,-121.6,A
0063051  68D413,26.2,1243,38.1,-120.6,A
0063052  24C202,6.7,524,40.7,-122.9,A
0063053  78A301,15.3,755,37.8,-120.2,A
0063054  24C109,9,690,40.7,-122.8,A
0063055  78A303,8.2,247,37.8,-120.2,A
0063056   7D401,14.3,324,41.6,-123.1,A
0063057  24C205,9.6,794,40.7,-122.9,A
0063058  14D201,10.2,627,41.2,-122.2,A
0063059  68A303,7.6,495,38.3,-120.7,A
0063060  69C206,9.6,548,38.2,-120.4,A
0063061  78A302,7.9,250,37.8,-120.2,A
0063062  78A306,6.3,143,37.8,-120.2,A
0063063  68D406,14.6,1549,38.1,-120.6,A
0063064  14C110,18.4,1033,41.2,-122.3,A
0063065  68D208,9.3,724,38.2,-120.7,A
0063066  78A304,6.9,459,37.8,-120.2,A
0063067  78B304,7.1,425,37.8,-120.4,A
0063068  79A209,6.3,551,37.9,-120.7,A
0063069  69C312,5.8,417,38.1,-120.4,A
0063070  78B207,3.8,253,37.9,-120.4,A
0063071  68A301,5.1,313,38.3,-120.7,A
0063072  68A302,7.7,269,38.3,-120.7,A
0063073  14A402,45.1,2815,41.3,-122.1,A
0063074  25D302,7.6,464,40.6,-123.2,A
0063075  14B101,12.9,424,41.4,-122.3,A
0063076  78B204,9.1,486,37.9,-120.4,A
0064001 56-AK-3-1,6.4,542,65,-148,A
0064002 56-AK-3-2,9.5,612,65,-147.5,A
0064003 56-AK-5-2,21.1,1140,60.5,-150,A
0064004 56-AK-6-1,35.3,2887,60.1,-151.5,A
